,,,,,,EC,EC,METRO,METRO,EC,METRO,METRO,EC,,METRO,METRO,METRO,METRO,EC,METRO,METRO,METRO,,METRO,METRO,METRO,METRO,METRO,EC,,METRO,METRO,METRO,EC,METRO,METRO,,METRO,METRO,EC,EC,METRO,METRO,,METRO,METRO,METRO,METRO,,METRO,METRO,METRO,EC,,EC,METRO,METRO,EC,EC,EC,EC,EC,,EC,EC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,|PD|,,D,,,,,05:04,,05:10,05:18,,,05:31,,06:14,06:23,,06:55,07:09,07:15,,,07:28,07:45,08:09,08:31,09:03,,09:25,09:30,,09:53,10:23,11:23,,11:44,,,,13:23,13:33,,14:04,14:08,,16:23,,16:28,,16:38,17:04,,18:12,,18:53,19:17,19:29,,19:41,20:16,,,20:56
"22,68",WINTERSNEST,WRT,,A,,,,05:05,05:10,,05:16,05:24,,,05:37,06:09,06:20,06:29,,07:01,07:15,07:21,,07:30,07:34,07:51,08:15,08:37,,,09:31,09:36,09:51,,10:29,11:29,,11:50,12:07,,,13:29,13:39,,14:10,14:14,14:23,16:29,,16:34,16:37,16:44,,,,18:53,18:59,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,|PD|,,D,,,,05:05,05:10,,05:15,05:23,,,05:37,06:09,06:20,06:28,,07:01,07:14,07:21,,07:30,07:33,07:51,08:14,08:36,09:08,,09:31,09:35,09:51,09:58,10:28,11:28,,11:50,12:07,,,13:28,13:38,,14:10,14:13,14:23,16:28,,16:33,16:37,16:44,17:08,,18:17,18:53,18:59,19:21,19:34,19:36,19:46,20:21,,20:57,21:01
"26,64",WOLMERTON,WRN,,A,,,,05:10,05:15,,05:20,05:28,,,05:42,06:14,06:24,06:33,,07:06,07:19,07:25,,07:35,07:38,07:56,08:19,08:41,,,09:35,09:40,09:56,,10:33,11:33,,11:55,12:12,,,13:33,13:43,,14:14,14:18,14:28,16:33,,16:38,16:42,16:49,,,,18:58,19:03,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,|PD|,,D,,,,05:10,05:15,,05:20,05:28,,,05:42,06:14,06:24,06:33,,07:06,07:19,07:25,,07:35,07:38,07:56,08:19,08:41,,,09:35,09:40,09:56,,10:33,11:33,,11:55,12:12,,,13:33,13:43,,14:14,14:18,14:28,16:33,,16:38,16:42,16:49,,,,18:58,19:03,,,,,,,,
"29,09",PRETORIA-NOORD,PNL,,A,,03:58,04:03,05:13,05:18,04:48,05:23,05:31,05:03,,05:45,06:17,06:28,06:36,06:28,07:09,07:22,07:29,,07:38,07:41,07:59,08:22,08:44,,,09:39,09:43,09:59,,10:36,11:36,,11:58,12:15,12:18,12:33,13:36,13:46,,14:18,14:21,14:31,16:36,,16:41,16:45,16:52,,,,19:01,19:07,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,|PD|,,D,,,,05:13,05:18,,05:23,05:31,,,05:45,06:17,06:28,06:36,,07:09,07:22,07:29,,07:38,07:41,07:59,08:22,08:44,,,09:39,09:43,09:59,,10:36,11:36,,11:58,12:15,,,13:36,13:46,,14:18,14:21,14:31,16:36,,16:41,16:45,16:52,,,,19:01,19:07,,,,,,,,
"30,14",WONDERBOOM,WOX,,A,,,,05:16,05:21,,05:25,05:34,,,05:48,06:20,06:30,06:38,,07:12,07:24,07:31,,07:41,07:44,08:02,08:24,08:47,,,09:41,09:45,10:02,,10:39,11:38,,12:01,12:18,,,13:38,13:49,,14:20,14:23,14:34,16:38,,16:44,16:48,16:55,,,,19:04,19:09,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,|PD|,,D,,03:59,04:04,05:15,05:20,04:49,05:25,05:33,05:04,,05:47,06:19,06:30,06:38,06:29,07:11,07:24,07:31,,07:40,07:43,08:01,08:24,08:46,,,09:41,09:45,10:01,,10:38,11:38,,12:00,12:17,12:19,12:34,13:38,13:48,,14:20,14:23,14:33,16:38,,16:43,16:47,16:54,,,,19:03,19:09,,,,,,,,
"33,46",MOUNTAIN VIEW,MVW,,A,,,,05:20,05:25,,05:29,05:38,,,05:52,06:24,06:34,06:42,,07:16,07:28,07:35,,07:45,07:48,08:06,08:28,08:51,,,09:45,09:49,10:06,,10:43,11:42,,12:05,12:22,,,13:42,13:53,,14:24,14:27,14:38,16:42,,16:48,16:52,16:59,,,,19:08,19:13,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,|PD|,,D,,04:01,04:07,05:20,05:24,04:52,05:29,05:38,05:07,,05:51,06:23,06:34,06:42,06:32,07:15,07:28,07:35,,07:44,07:48,08:05,08:28,08:51,,,09:45,09:49,10:05,,10:43,11:42,,12:04,12:21,12:21,12:37,13:42,13:53,,14:24,14:27,14:37,16:42,,16:48,16:51,16:58,,,,19:07,19:13,,,,,,,,
"35,1",DASPOORT,DSP,,A,,04:03,,05:23,05:27,,05:31,05:41,,,05:54,06:26,06:36,06:44,,07:18,07:30,07:37,,07:47,07:51,08:08,08:30,08:54,,,09:47,09:51,10:08,,10:46,11:44,,12:07,12:24,12:23,,13:44,13:56,,14:26,14:29,14:40,16:44,,16:51,16:54,17:01,,,,19:10,19:15,,,,,,,,
